station_a,station_b
London Bridge Underground Station,Borough Underground Station
Borough Underground Station,Elephant & Castle Underground Station
Elephant & Castle Underground Station,Kennington Underground Station
Morden Underground Station,South Wimbledon Underground Station
South Wimbledon Underground Station,Colliers Wood Underground Station
Colliers Wood Underground Station,Tooting Broadway Underground Station
Tooting Broadway Underground Station,Tooting Bec Underground Station
Tooting Bec Underground Station,Balham Underground Station
Balham Underground Station,Clapham South Underground Station
Clapham South Underground Station,Clapham Common Underground Station
Clapham Common Underground Station,Clapham North Underground Station
Clapham North Underground Station,Stockwell Underground Station
Stockwell Underground Station,Oval Underground Station
Oval Underground Station,Kennington Underground Station
Kennington Underground Station,Waterloo Underground Station
Waterloo Underground Station,Embankment Underground Station
Embankment Underground Station,Charing Cross Underground Station
Charing Cross Underground Station,Leicester Square Underground Station
Leicester Square Underground Station,Tottenham Court Road Underground Station
Tottenham Court Road Underground Station,Goodge Street Underground Station
Goodge Street Underground Station,Warren Street Underground Station
Warren Street Underground Station,Euston Underground Station
Euston Underground Station,Mornington Crescent Underground Station
Mornington Crescent Underground Station,Camden Town Underground Station
Camden Town Underground Station,Kentish Town Underground Station
Kentish Town Underground Station,Tufnell Park Underground Station
Tufnell Park Underground Station,Archway Underground Station
Archway Underground Station,Highgate Underground Station
Highgate Underground Station,East Finchley Underground Station
East Finchley Underground Station,Finchley Central Underground Station
Finchley Central Underground Station,West Finchley Underground Station
West Finchley Underground Station,Woodside Park Underground Station
Woodside Park Underground Station,Totteridge & Whetstone Underground Station
Totteridge & Whetstone Underground Station,High Barnet Underground Station
